disp_x_mm,disp_y_mm,disp_z_mm,Rx_deg,Ry_deg,Rz_deg,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm
0.0116064274968902,-0.152270335777625,-0.0184562476882288,-0.792037771304291,-1.93680086680444,1.1075245248149,-2.0697127067653,2.56515801248656,0.0628231538216255,0.0310848903218437,0.0352964350081213,0.219746258911569
0.00914605072749841,-0.154386543012752,-0.0177472951776612,-0.791506268997382,-1.93568371638527,1.1076638641932,-3.04300123157799,-1.99135423274265,-0.299576597180248,-0.00434361959012586,0.0199336509016428,0.265386906085297
0.00255597766366333,-0.156815816934469,-0.0164057265607989,-0.790482532971963,-1.93424529011669,1.10846650705767,-2.36373722893933,-0.739723000737513,-0.542039599367996,-0.0433933458191533,-0.0103433079280451,0.517939200668041
-0.00939124585095918,-0.159537336020277,-0.0143663927403392,-0.788919981728199,-1.9325543679703,1.11015064089008,-2.94011793440171,3.9122472770498,-0.618216220692346,-0.0458613953422824,-0.0070592816018748,0.598460313527415
-0.0278963951497733,-0.162481309923413,-0.0115812942732831,-0.78678897120266,-1.93071904443866,1.11291293469317,-2.78559523277875,-1.62925425804951,-0.888401997950467,-0.0660683112352296,0.0388443072504825,0.334127558958238
-0.0540463291541255,-0.165497610985053,-0.00800340109404085,-0.784056985709848,-1.92887931527352,1.11690255406736,-0.713439100318396,-3.91701234691936,-0.558240670693607,-0.0562174520655896,0.0574751500310249,0.2646424454482
-0.0887084766727206,-0.16836451980589,-0.00359178735180987,-0.780690289942927,-1.92721527765002,1.12220546374506,-2.44030719186657,1.25311783637858,0.0669386470835036,0.0110034626301494,0.011204329098919,0.432982381394017
-0.132445899796706,-0.170816434382959,0.00167585219420885,-0.77666487890119,-1.92593175610912,1.1288143126382,-2.97722092508366,-1.01219495282953,0.132237093944241,0.0208688331875719,-0.0342903774442474,0.661274317734948
-0.185449462583379,-0.172554377671432,0.00780751964193849,-0.771953433419275,-1.9252642394837,1.1366273046268,-3.41654789777613,-4.7887859609275,-0.322401105737583,-0.0421894933923901,-0.0603677898780516,0.900555789343801
-0.247503202110988,-0.173287039392179,0.0147829680778164,-0.766534446278594,-1.92548183270583,1.14545972962373,-5.91186908303933,-1.97459913707553,-0.604525031574752,-0.103191167196772,-0.0708880251316517,1.26213230112721
-0.317996571252561,-0.172762977698223,0.0225501165321411,-0.760392938455617,-1.92686055548489,1.155027879468,-7.24728038887423,-4.48480407243892,-1.06257315061268,-0.152522282972162,-0.0503967765078784,1.71659812493279
-0.395952644058064,-0.170825122729296,0.0310037745677127,-0.753537379467047,-1.92970880904145,1.16499591814546,-12.1706190262167,-11.3537626749055,-1.85173902091063,-0.210182601684552,-0.0698312408216214,2.40039107111727
-0.480117378656006,-0.167436953348045,0.0399836758171281,-0.746000948949954,-1.93434628325191,1.17498551854125,-18.4378340431393,-12.7642892325487,-2.03993344652136,-0.279894239059075,-0.209372883762568,3.83545451116698
-0.569065432862321,-0.162698728696528,0.0492739486723066,-0.737842410427386,-1.94110379813635,1.18461007295342,-28.4670372599213,-14.1170338033942,-2.72511420715298,-0.384329522158431,-0.394799715730098,5.7736191419925
-0.661319476838749,-0.156853022336636,0.0586057885613933,-0.729147974301068,-1.95031554909532,1.19349525563692,-40.5559508595967,-17.9708312712694,-4.08176964533018,-0.553720319782898,-0.534204671302095,7.9145951803117
-0.755470922683509,-0.150274280160651,0.0676651054168875,-0.720031235968358,-1.96231581632578,1.20130531016384,-55.5512838450429,-15.0643086273353,-5.46146974188787,-0.765889597730255,-0.62138700017806,10.2536949635324
